field,source_id,short_title,normalized,inferred (ChatGPT),likely_identical_shared
place,54-med-1s,"Joannis Baptistae Portae Neapolitani, De Distillationibus, Libri IX",Strasbourg,Strasbourg/Strassburg,
place,29-2-med-2f,"Chirurgische Bücher und Schrifften/ deß Edelen/ Hochgelehrten unnd Bewehrten Philosophi und Medici, Philippi Theophrasti Bombast/ von Hohenheim/ Paracelsi genandt",Strasbourg,Strasbourg/Strassburg,
place,xb-1806,"Adriani Ziegleri, Tigurini, Pharmacopoea Spagyrica: Continens selectissima remedia Chymica",Zurich,Zürich,
place,xb-7748,Aperta Arca Arcani Artificiossimi Das ist: Eröffneter und offenstehender Kasten der allergrösten und künstlichsten Geheimnüssen der Natur/ des Grossen und Kleinen Bauers,Wrocław,Breslau/Wrocław,
place,xb-9206-1b,"Des Vortrefflichen Herren Johann Baptista Portae von Neapolis Magia Naturalis, oder Haus- Kunst- und Wunder-Buch",Nuremberg,Nürnberg,
place,xb-2146-2s,Lapis Mineralis Oder Die höchste Artzney/ Auß Denen Metallen und Mineralien/ Absonderlich dem Vitriolo,Strasbourg,Strasbourg/Strassburg,
place,xb-3832,"Gebri, Regis Arabum Philosophi Perspicacissimi, Summa perfectionis Magisterii in sua natura",Gdańsk,Danzig/Gdańsk,
place,wa-2f-98,Aufgang der Artzney-Kunst/ Das ist: Noch nie erhörte Grund-Lehren von der Natur/ zu einer neuen Beförderung der Artzney-Sachen/ so wol Die Kranckheiten zu vertreiben/ als Ein lange,Nuremberg,Nürnberg,
place,od-216,"Johannis Kunckelii, Churfürstl",Nuremberg,Nürnberg,
place,hr-424,Der Heimliche und unerforschliche Natur-Kündiger/ Oder: Accurate Beschreibung Von der Wünschel-Ruthe,Nuremberg,Nürnberg,
place,xb-149-1s,Der Curieusen Kunst- und Werck-Schul,Nuremberg,Nürnberg,
place,oc-77-1,Wieder Neu aufgerichtete und vergrösserte in Zwey Theilen angewiesene Curieuse Kunst- und Werck-Schul,Nuremberg,Nürnberg,
place,li-51,Les Admirables Secrets D'Albert Le Grand,Cologne,Köln,
place,oc-77-2,Der Neu-aufgerichteten und Vergrösserten Jn Sechs Bücher oder Theilen verfasten curieusen Kunst- und Werck-Schul/ sehr verlangter nunmehr erfolgter Anderer Theil/,Nuremberg,Nürnberg,
place,nd-283-2s,Der unterwiesene Anfänger in der Chymie,Vienna,Wien,
